               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,             0.01912,            0.011036,           0.0028668,             0.85115,              0.9148,             0.94503,             0.74648,            0.012593,           0.0035499,           0.0021154,           0.0050995,           0.0050995,           0.0050995
                 101,            0.019949,            0.011011,            0.002958,             0.84281,             0.93602,             0.95008,             0.73502,            0.013049,           0.0035084,           0.0018833,             0.00505,             0.00505,             0.00505
                 102,            0.018438,            0.010877,            0.002474,              0.8404,             0.93742,             0.93235,             0.74046,            0.011915,           0.0036183,           0.0021348,           0.0050005,           0.0050005,           0.0050005
                 103,            0.018958,            0.010969,           0.0025556,             0.81362,             0.94039,              0.9394,             0.73862,             0.01288,           0.0034635,           0.0022679,            0.004951,            0.004951,            0.004951
                 104,            0.019071,            0.010994,           0.0034576,             0.84717,             0.92077,             0.93551,             0.73282,            0.012725,           0.0035833,             0.00206,           0.0049015,           0.0049015,           0.0049015
                 105,            0.019002,            0.010964,           0.0029244,               0.805,             0.88439,             0.92017,             0.73269,            0.012534,           0.0036176,           0.0024922,            0.004852,            0.004852,            0.004852
                 106,            0.017517,            0.010725,           0.0024475,             0.83147,             0.90779,              0.9284,             0.74143,            0.013041,           0.0035225,            0.002498,           0.0048025,           0.0048025,           0.0048025
                 107,            0.017206,            0.010712,           0.0032221,             0.77859,             0.95272,             0.91977,             0.73109,            0.012589,           0.0036508,           0.0025503,            0.004753,            0.004753,            0.004753
                 108,            0.019167,            0.010806,           0.0022932,             0.81003,             0.94065,             0.92968,             0.73806,            0.012554,           0.0036599,           0.0024181,           0.0047035,           0.0047035,           0.0047035
                 109,            0.017579,             0.01051,           0.0023982,             0.83507,             0.91678,             0.93252,             0.73683,            0.012828,           0.0037139,           0.0021699,            0.004654,            0.004654,            0.004654
                 110,            0.018586,            0.010771,            0.002045,             0.83566,             0.93667,             0.94561,             0.74795,            0.013105,           0.0034836,           0.0016884,           0.0046045,           0.0046045,           0.0046045
                 111,            0.020505,            0.010403,           0.0019743,             0.86493,             0.88647,              0.9465,             0.76029,            0.011194,           0.0032735,           0.0023364,            0.004555,            0.004555,            0.004555
                 112,            0.020554,            0.010753,           0.0026522,             0.91821,              0.8781,             0.95065,             0.74601,            0.011924,           0.0033383,           0.0028347,            0.006337,            0.006337,            0.006337
                 113,            0.021391,            0.010873,           0.0034382,             0.82931,             0.92112,             0.94501,             0.73821,            0.011192,             0.00353,           0.0025023,            0.006304,            0.006304,            0.006304
                 114,            0.022169,            0.011216,           0.0039724,              0.7902,             0.93786,             0.93596,             0.72659,            0.012007,           0.0034588,           0.0032163,            0.006271,            0.006271,            0.006271
                 115,            0.023176,            0.011025,            0.003807,             0.82433,             0.91341,             0.92683,             0.72521,            0.012185,           0.0033734,           0.0025455,            0.006238,            0.006238,            0.006238
                 116,             0.02187,            0.011174,           0.0023142,             0.82271,             0.92099,             0.92383,             0.73398,            0.011539,           0.0033717,           0.0023743,            0.006205,            0.006205,            0.006205
                 117,            0.023898,            0.010727,           0.0038293,             0.82455,              0.9236,             0.93854,             0.72342,            0.012334,           0.0033812,           0.0018552,            0.006172,            0.006172,            0.006172
                 118,            0.022123,             0.01089,            0.003165,             0.81936,             0.92099,             0.92853,             0.72418,            0.012059,           0.0034074,           0.0031062,            0.006139,            0.006139,            0.006139
                 119,            0.022429,            0.010783,           0.0036352,              0.8797,             0.90186,             0.94026,             0.72827,            0.011387,           0.0032449,           0.0029044,            0.006106,            0.006106,            0.006106
                 120,            0.021007,            0.010941,           0.0026423,             0.80809,             0.92884,             0.93191,             0.73075,            0.011044,            0.003542,           0.0030958,            0.006073,            0.006073,            0.006073
